OBJECTID,soil depth,long_,lat,uniqueid
1,14,-114.9097,50.79748333,1
2,5,-114.9097,50.79748333,2
3,7,-114.9097,50.79748333,3
4,7,-114.9097,50.79748333,4
5,4,-114.9097,50.79748333,5
6,3.5,-114.9124,50.8034,6
7,21,-114.9124,50.8034,7
8,10,-114.9124,50.8034,8
9,5,-114.9124,50.8034,9
10,13,-114.9124,50.8034,10
11,7,-114.9102,50.7985,11
12,7,-114.9102,50.7985,12
13,3,-114.9102,50.7985,13
14,6.5,-114.9102,50.7985,14
15,9,-114.9102,50.7985,15
16,27,-114.9104,50.79795,16
17,8.5,-114.9104,50.79795,17
18,22,-114.9104,50.79795,18
19,7.5,-114.9104,50.79795,19
20,9.5,-114.9104,50.79795,20
21,24,-114.9156,50.80311667,21
22,17.5,-114.9156,50.80311667,22
23,18,-114.9156,50.80311667,23
24,12,-114.9156,50.80311667,24
25,10,-114.9156,50.80311667,25
26,4.5,-114.9124,50.8028,26
27,5.5,-114.9124,50.8028,27
28,5,-114.9124,50.8028,28
29,5,-114.9124,50.8028,29
30,25,-114.9124,50.8028,30
31,15.5,-114.9117,50.80285,31
32,3.5,-114.9117,50.80285,32
33,8.5,-114.9117,50.80285,33
34,14,-114.9117,50.80285,34
35,3.5,-114.9117,50.80285,35
36,25,-114.9203,50.8093,36
37,21,-114.9203,50.8093,37
38,22,-114.9203,50.8093,38
39,34,-114.9203,50.8093,39
40,24,-114.9203,50.8093,40
41,7.5,-114.9183,50.81075,41
42,13,-114.9183,50.81075,42
43,20.5,-114.9183,50.81075,43
44,26,-114.9183,50.81075,44
45,16,-114.9183,50.81075,45
46,15,-114.9173,50.80775,46
47,12.5,-114.9173,50.80775,47
48,12.5,-114.9173,50.80775,48
49,4,-114.9173,50.80775,49
50,13.5,-114.9173,50.80775,50
51,6.5,-114.9221,50.8095,51
52,19.5,-114.9221,50.8095,52
53,15,-114.9221,50.8095,53
54,17.5,-114.9221,50.8095,54
55,5,-114.9221,50.8095,55
56,33,-114.92928,50.81448,56
57,32,-114.92928,50.81448,57
58,47,-114.92928,50.81448,58
59,51,-114.92928,50.81448,59
60,52,-114.92928,50.81448,60
61,17.5,-114.9206,50.8125,61
62,14,-114.9206,50.8125,62
63,9,-114.9206,50.8125,63
64,16,-114.9206,50.8125,64
65,10,-114.9206,50.8125,65
66,19,-114.91177,50.80157,66
67,8,-114.91177,50.80157,67
68,21,-114.91177,50.80157,68
69,19.5,-114.91177,50.80157,69
70,18,-114.91177,50.80157,70
71,8.5,-114.9136,50.80101667,71
72,13,-114.9136,50.80101667,72
73,6,-114.9136,50.80101667,73
74,8,-114.9136,50.80101667,74
75,8,-114.9136,50.80101667,75
76,4,-114.9123,50.8007,76
77,26,-114.9123,50.8007,77
78,27,-114.9123,50.8007,78
79,12,-114.9123,50.8007,79
80,24,-114.9123,50.8007,80
81,11,-114.9113,50.7966,81
82,24,-114.9113,50.7966,82
83,7.5,-114.9113,50.7966,83
84,7,-114.9113,50.7966,84
85,15,-114.9113,50.7966,85
86,13.5,-114.91303,50.79787,86
87,13.5,-114.91303,50.79787,87
88,15,-114.91303,50.79787,88
89,19,-114.91303,50.79787,89
90,17,-114.91303,50.79787,90
91,7,-114.9131,50.79845,91
92,15,-114.9131,50.79845,92
93,16,-114.9131,50.79845,93
94,12,-114.9131,50.79845,94
95,14,-114.9131,50.79845,95
96,17.5,-114.9111,50.79993,96
97,13,-114.9111,50.79993,97
98,31,-114.9111,50.79993,98
99,25.5,-114.9111,50.79993,99
100,21.5,-114.9111,50.79993,100
101,11,-114.9095,50.80043333,101
102,5,-114.9095,50.80043333,102
103,8.5,-114.9095,50.80043333,103
104,10,-114.9095,50.80043333,104
105,10,-114.9095,50.80043333,105
106,10,-114.9017,50.80111667,106
107,22.5,-114.9017,50.80111667,107
108,10.5,-114.9017,50.80111667,108
109,14,-114.9017,50.80111667,109
110,7,-114.9017,50.80111667,110
111,10,-114.92053,50.80387,111
112,25,-114.92053,50.80387,112
113,18,-114.92053,50.80387,113
114,38,-114.92053,50.80387,114
115,25,-114.92053,50.80387,115
116,9,-114.9129,50.80296667,116
117,13,-114.9129,50.80296667,117
118,8.5,-114.9129,50.80296667,118
119,2.5,-114.9129,50.80296667,119
120,7,-114.9129,50.80296667,120
121,7,-114.9101,50.79995,121
122,10,-114.9101,50.79995,122
123,14.5,-114.9101,50.79995,123
124,15,-114.9101,50.79995,124
125,11,-114.9101,50.79995,125
126,36.5,-114.9115,50.80006667,126
127,10,-114.9115,50.80006667,127
128,5.5,-114.9115,50.80006667,128
129,12,-114.9115,50.80006667,129
130,16,-114.9115,50.80006667,130
131,19,-114.9139,50.81033333,131
132,15,-114.9139,50.81033333,132
133,37,-114.9139,50.81033333,133
134,32,-114.9139,50.81033333,134
135,17,-114.9139,50.81033333,135
136,8.5,-114.9144,50.80903333,136
137,7,-114.9144,50.80903333,137
